#: table_doi: 10.17182/hepdata.153301.v1/t2
#: name: Covariance for full matrix inclusive from m(tt)
#: description: Covariance for full matrix measurement inclusive from $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_inclusive_from_m(tt).yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$C_{nk}^{-}$ for inclusive measurement,$P_{k}$ for inclusive measurement,1.8455e-06
$C_{nk}^{-}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,3.5697e-06
$C_{nk}^{-}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-4.8057e-05
$C_{nk}^{-}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,1.4871e-06
$C_{nk}^{-}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,6.8636e-07
$C_{nk}^{-}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-2.2484e-07
$C_{nk}^{-}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,1.3157e-07
$C_{nk}^{-}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,4.5184e-06
$C_{nk}^{-}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-7.5485e-06
$C_{nk}^{-}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-9.0708e-06
$C_{nk}^{-}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,6.3312e-05
$C_{nk}^{-}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-8.2232e-07
$C_{nk}^{-}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,0.0006566

