#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.00021388
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,-3.2849e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0009158
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-4.713e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-5.5643e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0010115
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.5622e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,4.4061e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,-5.1587e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,9.1287e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,-9.7221e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.7823e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,1.6169e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $400 < m(t\bar{t}) < 600 $ GeV,3.2613e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $400 < m(t\bar{t}) < 600 $ GeV,1.8672e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $400 < m(t\bar{t}) < 600 $ GeV,4.531e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,2.0024e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.2828e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-5.1067e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,1.5812e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,5.1833e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,-6.7577e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $600 < m(t\bar{t}) < 800 $ GeV,-1.5421e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,-5.6656e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,2.6852e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,2.4715e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,-2.7802e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,1.8725e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,3.1036e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $600 < m(t\bar{t}) < 800 $ GeV,-2.2956e-06
